GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Utilities,de.larssh.utils.text,NumericTextComparator,31,0,6,0,5,0,5,0,2,0
Utilities,de.larssh.utils.text,Lines.GroupedLineType,34,0,0,0,4,0,1,0,1,0
Utilities,de.larssh.utils.text,Patterns,51,0,4,0,6,0,6,0,4,0
Utilities,de.larssh.utils.text,ParseException,14,0,0,0,4,0,2,0,2,0
Utilities,de.larssh.utils.text,Characters,45,0,12,0,9,0,10,0,4,0
Utilities,de.larssh.utils.text,Strings,609,0,42,0,74,0,46,0,25,0
Utilities,de.larssh.utils.time,LoggingStopwatch,98,0,2,0,20,0,12,0,11,0
Utilities,de.larssh.utils.time,LoggingStopwatch.StringLoggingStopwatchMode,170,0,10,0,27,0,17,0,12,0
Utilities,de.larssh.utils.time,Stopwatch,152,0,16,0,21,0,18,0,10,0
Utilities,de.larssh.utils.time,CloseableStopwatch,67,0,4,0,16,0,8,0,6,0
Utilities,de.larssh.utils.time,Stopwatch.Checkpoint,56,0,0,0,7,0,8,0,8,0
Utilities,de.larssh.utils.function,ThrowingFunction,5,7,0,0,1,3,0,2,0,2
Utilities,de.larssh.utils.function,ThrowingSupplier,5,6,0,0,1,3,0,2,0,2
Utilities,de.larssh.utils.function,ThrowingConsumer,5,8,0,0,1,5,0,2,0,2
Utilities,de.larssh.utils.function,ThrowingRunnable,12,0,0,0,6,0,2,0,2,0
Utilities,de.larssh.utils.xml,XmlReadingFeatures.Xerces.General,141,0,0,0,35,0,1,0,1,0
Utilities,de.larssh.utils.xml,XmlReadingFeatures.Xerces.SAX,41,0,0,0,10,0,1,0,1,0
Utilities,de.larssh.utils.xml,TransformerFactoryAttributes.Xalan,16,0,0,0,3,0,1,0,1,0
Utilities,de.larssh.utils.xml,XmlReadingProperties.Xerces.General,41,0,0,0,8,0,1,0,1,0
Utilities,de.larssh.utils.xml,XmlReadingProperties.Xerces.SAX,21,0,0,0,4,0,1,0,1,0
Utilities,de.larssh.utils.xml,XmlReadingFeatures.Xerces.DOM,13,0,0,0,3,0,1,0,1,0
Utilities,de.larssh.utils.xml,TransformerOutputProperty,67,0,2,0,13,0,10,0,9,0
Utilities,de.larssh.utils.xml,TransformerOutputProperties.JDK,10,0,0,0,3,0,1,0,1,0
Utilities,de.larssh.utils.xml,TransformerOutputProperties.Xalan,16,0,0,0,5,0,1,0,1,0
Utilities,de.larssh.utils.xml,XmlReadingProperty,15,0,0,0,3,0,3,0,3,0
Utilities,de.larssh.utils.xml,TransformerFactoryAttribute,11,0,0,0,3,0,2,0,2,0
Utilities,de.larssh.utils.xml,XmlReadingFeatures.Xerces.XInclude,5,0,0,0,1,0,1,0,1,0
Utilities,de.larssh.utils.xml,TransformerOutputProperties.XML,31,0,0,0,10,0,1,0,1,0
Utilities,de.larssh.utils.xml,XmlReadingProperties.Xerces.DOM,11,0,0,0,2,0,1,0,1,0
Utilities,de.larssh.utils.xml,XmlReadingWritableProperty,22,0,0,0,8,0,4,0,4,0
